authors,name,price,publisher,rating,tags
王小波,黄金时代,￥6.00,北京中作华文数字传媒股份有限公司,9.3,"现当代文学,中国现当代,人性,民国,岳麓书社,萧红,讽刺,小说,黄金,剧本,编剧,财经,电影,文学,哲学,蓝狮子,当代文学,俄罗斯,文革,文化,中国历史,自由主义,传记,美国,荷兰,当代,中国文学,中国,中国研究,科普,历史,思想,中国当代文,文学经典,人物"
[美]查普曼,重塑大脑三部曲（《你的大脑，你的生产力》、《上脑与下脑：找到你的认知模式》、《重塑大脑，重塑人生》）（共3册）,￥48.00,北京华章图文信息有限公司,7.2,"心理学,生活,文学"
陈忠实,白鹿原,￥12.00,人民文学出版社,9.6,
卿妃,月沉吟,￥5.00,儒意欣欣,9,"小说,穿越,文学,爱情,后宫,古韵"
[美]罗伯特·B·西奥迪尼,影响力（经典版）,￥49.99,天津湛庐图书有限公司,9.8,
陈果,好的孤独,￥18.00,上海读客图书有限公司,9.2,"孤独,哲学,心灵,修养,成长,人生,幸福,成功,道德,爱情,友情,亲情"
伍倩,匣心记2,￥10.80,北京凤凰联动图书发行有限公司,9.3,
阿耐,大江东去（全3册）,￥67.19,上海读客图书有限公司,9.7,"改革开放,谋权,国策"
林徽因;萧红;庐隐;石评梅,民国才女诗文精选（共4册）,￥50.99,天津博集新媒科技有限公司,,"文学,小说,散文,诗歌,随笔,民国,文化"
鲁迅等,中国现代文学经典作品集（共10册）,￥39.90,中南博集天卷文化传媒有限公司,10,
常书欣,余罪：我的刑侦笔记6,￥20.62,上海读客图书有限公司,9.4,
埃米尔,世界名著名译文库·左拉集（套装共4册）,￥53.30,北京凤凰壹力文化发展有限公司,9,"小说,外国"
当年明月,明朝那些事儿·第1部：洪武大帝,￥9.99,北京磨铁数盟信息技术有限公司,9.5,"历史,明朝那些事,明朝中国文"
大冰,乖，摸摸头,￥7.99,中南博集天卷文化传媒有限公司,9.6,"感动,旅行,小说,生活,随笔,文学,情感,治愈,散文随笔,青春,当代,故事集"
王煜全;薛兆丰,全球风口：积木式创新与中国新机遇,￥41.00,天津湛庐图书有限公司,10,
[英]克莱儿·麦克福尔,摆渡人,￥9.99,北京白马时光文化发展有限公司,9.3,"英国,外国文学,文学,治愈系,心灵成长,小说"
[美]迪帕克·马哈拉,哈佛经典谈判术（经典版）,￥43.00,天津湛庐图书有限公司,10,
张恨水,民国文学经典：金粉世家,￥14.99,北京明天远航文化传播有限公司,9,"小说,文学,爱情,后宫,穿越"
[英]安德鲁·霍奇斯,艾伦·图灵传—如迷的解谜者,￥40.00,湖南科学技术出版社有限责任公司,9.7,"艾伦,图灵,计算机,同性恋,卷福,奥斯卡,安德鲁,霍奇斯,模仿游戏,情报,科学家,科学,同盟国,传记,苹果,数学家"
,2016-2017年25只最具投资价值股票展望,￥19.98,,6,
丁潇潇,情到刻骨，原来如此,￥14.94,北京磨铁数盟信息技术有限公司,9.3,"虐恋,战争,言情,江南闺秀,避孕,分离,民国,江北司令,伤逝,寻夫,霸道军阀,小说"
卢梭,卢梭集（共3册）忏悔录+新爱洛伊丝+漫步遐想录,￥47.50,北京凤凰壹力文化发展有限公司,10,"小说,文学"
恒盛杰资讯,黑客攻防：从入门到精通,￥20.00,北京华章图文信息有限公司,8.6,"计算机,安全与加密,密码攻防,黑客,木马,维护"
苏格兰折耳猫,你若不曾来，叫我如何老,￥8.99,成都万有图书有限公司,9.1,"小说,文学,爱情,生活,随笔"
冯唐,活着活着就老了（2017新版）,￥18.00,杭州果麦文化传媒有限公司,10,"小说,文学,随笔,散文,社会,青春,杂文"
王小波,沉默的大多数,￥6.00,北京中作华文数字传媒股份有限公司,8.7,"社会,杂文,杂文集,思想,中文阅读经,现当代文学,藏书K,散文,自由,独立,文学,杂文随笔,有态度,中国,中国文学,随笔,文革,散文随笔"
流潋紫,后宫如懿传·大结局,￥7.99,北京磨铁数盟信息技术有限公司,9.3,"言情,如懿传,爱情,网络小说,宫斗,小说"
玄默,余爱未了,￥5.96,北京白马时光文化发展有限公司,9.2,"言情,现代都市,爱情,虐恋,小说,晋江,长篇,作品"
吴义勤,彼岸的诱惑,￥6.99,北京中作华文数字传媒股份有限公司,,"文学,小说"
蜘蛛,罪全书3,￥7.99,中南博集天卷文化传媒有限公司,8.8,"小说,罪全书,犯罪,悬疑,推理,文学"
埃斯库罗斯,埃斯库罗斯悲剧全集,￥14.99,上海译文出版社,,
荷马,伊利亚特,￥14.99,上海译文出版社,,
[美]琳赛·吉布森,不成熟的父母,￥18.00,北京华章图文信息有限公司,9.7,"教育,生活,育儿,家庭,文学,成长,心理"
熊召政,张居正：全四册,￥19.20,湖北长江传媒数字出版有限公司,10,茅盾文学奖
青衫落拓,被遗忘的时光,￥3.99,杭州创策科技有限公司,9.4,"言情,少女,相爱,沦陷,真爱,爱情,记忆,小说,初恋,遗忘,中国,情感"
戴尔·卡耐基,人性的弱点大全集,￥2.98,北京金石海纳文化传媒有限公司,9.2,"卡耐基,解开忧虑,创造奇迹,平安快乐,成功励志,弱点,获取信服,人性,家庭,受欢迎,大全集,高记忆力,说服别人,人际与社交,为人处世"
沈从文,边城,￥1.99,湖北长江传媒数字出版有限公司,9.4,"小说,中国文学,乡土,经典,文学,现代文学,人生,青春,文化,严肃小说"
沈南乔,我只害怕我爱你,￥2.99,杭州创策科技有限公司,9.5,"言情,言情小说,爱情,网络小说,中国,小说,青春文学,现代言情"
浅绿,听说爱情在隔壁,￥4.99,北京中作华文数字传媒股份有限公司,8.7,"婚恋,青春与动漫,爱情小说,中国当代文,都市,青春文学,原创,言情,现代"
花清晨,哦，这该死的缘,￥2.00,杭州创策科技有限公司,8.7,"言情,现代都市,都市,网络小说,搞笑,小说"
顾漫,何以笙箫默,￥2.99,上海读客图书有限公司,9.5,"言情,小说,爱情,温暖,青春,等待,校园,影视,青春文学,虐恋,影视同期,青春与动漫,网络游戏,网络文学,言情小说"
陆萌,终于爱情,￥1.55,杭州创策科技有限公司,9,"都市情感,青春,爱情,亲情,现言,小说,都市,言情"
锦竹,若你不弃，此生不离,￥3.99,杭州创策科技有限公司,8.9,"结婚,言情,爱情,小说,言情小说,现代都市"
王强,美国海军陆战队图鉴：下册·现役武器装备,￥35.21,人民邮电出版社,,
